,area_type,location,BHK,total_sqft,bath,balcony,price_in_lakhs
99,Super built-up  Area,7th Phase JP Nagar,2,1100.0,2.0,0.0,46.0
100,Built-up  Area,7th Phase JP Nagar,2,918.0,2.0,1.0,50.49
101,Super built-up  Area,7th Phase JP Nagar,3,1450.0,2.0,1.0,100.0
102,Super built-up  Area,7th Phase JP Nagar,2,1190.0,2.0,1.0,49.98
103,Super built-up  Area,7th Phase JP Nagar,3,1420.0,2.0,2.0,96.0
104,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
105,Super built-up  Area,7th Phase JP Nagar,2,980.0,2.0,2.0,69.0
106,Super built-up  Area,7th Phase JP Nagar,2,1180.0,2.0,2.0,72.0
110,Built-up  Area,7th Phase JP Nagar,3,1400.0,3.0,1.0,115.0
111,Super built-up  Area,7th Phase JP Nagar,2,1270.0,2.0,1.0,83.0
113,Super built-up  Area,7th Phase JP Nagar,4,2503.0,4.0,0.0,188.0
114,Super built-up  Area,7th Phase JP Nagar,3,2200.0,3.0,2.0,190.0
117,Super built-up  Area,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
118,Super built-up  Area,7th Phase JP Nagar,3,1850.0,3.0,2.0,140.0
119,Built-up  Area,7th Phase JP Nagar,3,1575.0,2.0,2.0,120.0
120,Super built-up  Area,7th Phase JP Nagar,3,1850.0,3.0,2.0,150.0
121,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,120.0
122,Super built-up  Area,7th Phase JP Nagar,2,1175.0,2.0,2.0,82.5
125,Super built-up  Area,7th Phase JP Nagar,2,1215.0,2.0,2.0,90.0
126,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
127,Super built-up  Area,7th Phase JP Nagar,3,1300.0,3.0,2.0,89.13
128,Super built-up  Area,7th Phase JP Nagar,2,1130.0,2.0,2.0,73.0
129,Super built-up  Area,7th Phase JP Nagar,3,1450.0,3.0,2.0,100.0
131,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,50.0
132,Super built-up  Area,7th Phase JP Nagar,2,1275.0,2.0,1.0,87.0
134,Super built-up  Area,7th Phase JP Nagar,3,1650.0,3.0,2.0,110.0
135,Built-up  Area,7th Phase JP Nagar,2,850.0,2.0,2.0,42.0
136,Built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
137,Super built-up  Area,7th Phase JP Nagar,3,1850.0,3.0,1.0,150.0
138,Super built-up  Area,7th Phase JP Nagar,2,1236.0,2.0,2.0,61.33
139,Super built-up  Area,7th Phase JP Nagar,2,1000.0,2.0,2.0,53.0
140,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
141,Super built-up  Area,7th Phase JP Nagar,3,1675.0,2.0,2.0,135.0
142,Super built-up  Area,7th Phase JP Nagar,2,1187.0,2.0,1.0,59.0
143,Super built-up  Area,7th Phase JP Nagar,3,1850.0,3.0,2.0,155.0
144,Built-up  Area,7th Phase JP Nagar,2,1000.0,2.0,1.0,61.0
145,Super built-up  Area,7th Phase JP Nagar,3,1460.0,2.0,2.0,100.0
146,Super built-up  Area,7th Phase JP Nagar,3,1650.0,3.0,3.0,110.0
147,Super built-up  Area,7th Phase JP Nagar,2,1200.0,2.0,2.0,62.5
148,Super built-up  Area,7th Phase JP Nagar,2,1000.0,2.0,1.0,70.65
149,Super built-up  Area,7th Phase JP Nagar,2,1080.0,2.0,2.0,75.0
151,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,3.0,125.0
152,Super built-up  Area,7th Phase JP Nagar,3,1460.0,2.0,1.0,97.0
153,Built-up  Area,7th Phase JP Nagar,2,1120.0,2.0,2.0,65.0
154,Super built-up  Area,7th Phase JP Nagar,2,1100.0,3.0,1.0,60.0
155,Super built-up  Area,7th Phase JP Nagar,3,1790.0,3.0,3.0,120.0
156,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,117.0
157,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.0
158,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,75.0
159,Super built-up  Area,7th Phase JP Nagar,2,1040.0,2.0,1.0,75.0
160,Super built-up  Area,7th Phase JP Nagar,3,1400.0,2.0,1.0,95.0
161,Super built-up  Area,7th Phase JP Nagar,3,1800.0,3.0,2.0,130.0
162,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,0.0,68.0
163,Built-up  Area,7th Phase JP Nagar,2,1000.0,2.0,2.0,60.0
164,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,125.0
165,Super built-up  Area,7th Phase JP Nagar,2,1050.0,2.0,1.0,77.47
166,Super built-up  Area,7th Phase JP Nagar,2,1270.0,2.0,1.0,80.0
168,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,122.0
169,Super built-up  Area,7th Phase JP Nagar,2,1130.0,2.0,2.0,85.0
170,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,3.0,130.0
171,Built-up  Area,7th Phase JP Nagar,2,980.0,2.0,1.0,77.44
172,Super built-up  Area,7th Phase JP Nagar,3,1680.0,3.0,2.0,112.0
174,Super built-up  Area,7th Phase JP Nagar,3,2095.0,3.0,2.0,150.0
175,Super built-up  Area,7th Phase JP Nagar,3,1976.0,3.0,1.0,145.0
176,Super built-up  Area,7th Phase JP Nagar,3,1600.0,2.0,2.0,110.0
177,Super built-up  Area,7th Phase JP Nagar,3,1765.0,3.0,2.0,118.0
178,Built-up  Area,7th Phase JP Nagar,3,1275.0,2.0,2.0,88.0
179,Super built-up  Area,7th Phase JP Nagar,3,1450.0,2.0,1.0,102.0
180,Super built-up  Area,7th Phase JP Nagar,3,1575.0,2.0,2.0,110.0
182,Super built-up  Area,7th Phase JP Nagar,1,750.0,1.0,2.0,47.0
183,Super built-up  Area,7th Phase JP Nagar,2,990.0,2.0,2.0,50.0
184,Plot  Area,7th Phase JP Nagar,1,1000.0,1.0,1.0,60.0
186,Super built-up  Area,7th Phase JP Nagar,3,1430.0,2.0,1.0,102.0
187,Super built-up  Area,7th Phase JP Nagar,2,1128.0,2.0,1.0,60.0
188,Built-up  Area,7th Phase JP Nagar,2,1140.0,2.0,1.0,57.0
189,Super built-up  Area,7th Phase JP Nagar,3,1420.0,3.0,2.0,90.0
190,Super built-up  Area,7th Phase JP Nagar,2,1530.0,2.0,1.0,108.0
191,Super built-up  Area,8th Phase JP Nagar,2,1073.5,2.0,0.0,54.005
192,Super built-up  Area,8th Phase JP Nagar,1,451.0,1.0,0.0,29.9
194,Super built-up  Area,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
196,Super built-up  Area,8th Phase JP Nagar,3,1455.0,3.0,2.0,73.31
197,Super built-up  Area,8th Phase JP Nagar,2,871.0,2.0,2.0,55.0
198,Super built-up  Area,8th Phase JP Nagar,2,1098.0,2.0,1.0,43.91
199,Super built-up  Area,8th Phase JP Nagar,3,1800.0,3.0,1.0,80.0
200,Built-up  Area,8th Phase JP Nagar,4,2700.0,4.0,2.0,130.0
201,Super built-up  Area,8th Phase JP Nagar,2,1080.0,2.0,2.0,38.0
202,Super built-up  Area,8th Phase JP Nagar,2,1059.0,2.0,2.0,34.5
203,Super built-up  Area,8th Phase JP Nagar,2,1080.0,2.0,2.0,35.0
205,Super built-up  Area,8th Phase JP Nagar,2,1062.0,2.0,1.0,42.47
206,Super built-up  Area,8th Phase JP Nagar,1,500.0,1.0,1.0,31.0
207,Super built-up  Area,8th Phase JP Nagar,2,1100.0,2.0,2.0,35.0
208,Super built-up  Area,8th Phase JP Nagar,4,2100.0,4.0,3.0,92.0
209,Super built-up  Area,8th Phase JP Nagar,2,1035.0,2.0,1.0,39.33
210,Super built-up  Area,8th Phase JP Nagar,2,909.0,2.0,1.0,40.9
211,Super built-up  Area,8th Phase JP Nagar,3,1431.5,3.0,0.0,72.02
212,Built-up  Area,8th Phase JP Nagar,3,1900.0,4.0,1.0,90.0
213,Super built-up  Area,8th Phase JP Nagar,1,500.0,1.0,1.0,30.0
214,Super built-up  Area,8th Phase JP Nagar,2,1125.0,2.0,2.0,36.94
215,Super built-up  Area,8th Phase JP Nagar,2,1100.0,2.0,3.0,35.0
216,Super built-up  Area,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
218,Super built-up  Area,8th Phase JP Nagar,3,1504.0,2.0,2.0,83.0
219,Built-up  Area,8th Phase JP Nagar,4,2600.0,4.0,2.0,115.0
221,Super built-up  Area,8th Phase JP Nagar,2,1089.0,2.0,1.0,43.55
223,Super built-up  Area,8th Phase JP Nagar,2,1513.0,2.0,3.0,62.0
224,Built-up  Area,8th Phase JP Nagar,2,1298.0,2.0,1.0,59.0
225,Built-up  Area,8th Phase JP Nagar,2,1006.0,2.0,0.0,44.0
226,Carpet  Area,8th Phase JP Nagar,1,500.0,1.0,1.0,33.0
227,Super built-up  Area,8th Phase JP Nagar,2,1160.0,2.0,1.0,95.0
228,Super built-up  Area,8th Phase JP Nagar,2,1245.0,2.0,1.0,59.0
229,Super built-up  Area,8th Phase JP Nagar,2,1510.0,2.0,3.0,80.0
230,Super built-up  Area,8th Phase JP Nagar,3,3300.0,3.0,2.0,165.0
231,Built-up  Area,8th Phase JP Nagar,5,1730.0,5.0,2.0,75.0
234,Super built-up  Area,8th Phase JP Nagar,2,1046.0,2.0,1.0,48.0
236,Super built-up  Area,8th Phase JP Nagar,3,1408.0,3.0,2.0,80.0
238,Super built-up  Area,9th Phase JP Nagar,2,1005.0,2.0,1.0,50.0
240,Super built-up  Area,9th Phase JP Nagar,2,1100.0,2.0,1.0,65.0
241,Super built-up  Area,9th Phase JP Nagar,2,1080.0,2.0,2.0,37.0
242,Built-up  Area,9th Phase JP Nagar,2,1035.0,2.0,1.0,45.0
243,Built-up  Area,9th Phase JP Nagar,4,5000.0,4.0,3.0,290.0
244,Built-up  Area,9th Phase JP Nagar,2,1164.0,2.0,1.0,56.0
245,Super built-up  Area,9th Phase JP Nagar,2,1005.0,2.0,1.0,42.0
246,Super built-up  Area,9th Phase JP Nagar,2,1127.0,2.0,1.0,50.0
247,Super built-up  Area,9th Phase JP Nagar,2,1005.0,2.0,1.0,43.0
248,Built-up  Area,9th Phase JP Nagar,2,835.0,2.0,0.0,37.0
249,Super built-up  Area,9th Phase JP Nagar,2,1050.0,2.0,2.0,39.0
250,Super built-up  Area,9th Phase JP Nagar,2,660.0,2.0,0.0,27.0
251,Built-up  Area,9th Phase JP Nagar,1,600.0,1.0,0.0,20.0
252,Super built-up  Area,9th Phase JP Nagar,2,1466.0,2.0,2.0,71.0
253,Built-up  Area,9th Phase JP Nagar,3,1890.0,2.0,2.0,93.0
254,Super built-up  Area,9th Phase JP Nagar,2,1079.0,2.0,1.0,60.0
255,Super built-up  Area,9th Phase JP Nagar,2,1480.0,2.0,1.0,80.0
256,Plot  Area,9th Phase JP Nagar,2,1200.0,2.0,0.0,80.0
257,Super built-up  Area,9th Phase JP Nagar,2,905.0,2.0,1.0,32.0
258,Super built-up  Area,9th Phase JP Nagar,2,1073.0,2.0,1.0,52.36
259,Super built-up  Area,9th Phase JP Nagar,3,1719.3,2.0,2.0,88.0
260,Super built-up  Area,9th Phase JP Nagar,3,1780.0,3.0,2.0,88.0
262,Super built-up  Area,9th Phase JP Nagar,3,1522.0,3.0,2.0,90.0
265,Built-up  Area,9th Phase JP Nagar,2,890.0,2.0,2.0,45.0
267,Built-up  Area,9th Phase JP Nagar,4,5000.0,4.0,2.0,300.0
269,Super built-up  Area,9th Phase JP Nagar,2,1050.0,2.0,2.0,35.0
270,Super built-up  Area,9th Phase JP Nagar,2,1331.95,2.0,2.0,69.0
271,Super built-up  Area,AECS Layout,2,1100.0,2.0,3.0,45.0
272,Super built-up  Area,AECS Layout,2,1028.0,2.0,1.0,42.0
273,Super built-up  Area,AECS Layout,2,1199.0,2.0,2.0,65.0
274,Super built-up  Area,AECS Layout,2,1080.0,2.0,2.0,55.0
275,Super built-up  Area,AECS Layout,2,1123.0,2.0,2.0,64.0
276,Super built-up  Area,AECS Layout,2,1308.0,2.0,1.0,60.0
277,Super built-up  Area,AECS Layout,2,1005.0,2.0,1.0,55.0
279,Super built-up  Area,Abbigere,2,985.0,2.0,1.0,40.39
280,Built-up  Area,Abbigere,6,2200.0,6.0,2.0,68.0
281,Super built-up  Area,Abbigere,1,765.0,2.0,2.0,30.0
282,Super built-up  Area,Abbigere,2,880.0,2.0,1.0,35.0
283,Super built-up  Area,Abbigere,2,795.0,2.0,1.0,32.54
284,Super built-up  Area,Abbigere,2,1005.0,2.0,1.0,39.59
285,Super built-up  Area,Abbigere,1,734.0,1.0,0.0,19.82
287,Super built-up  Area,Abbigere,2,1020.0,2.0,1.0,41.82
288,Super built-up  Area,Abbigere,2,985.0,2.0,1.0,40.39
289,Built-up  Area,Abbigere,6,2500.0,6.0,0.0,81.0
290,Super built-up  Area,Abbigere,2,795.0,2.0,1.0,32.54
291,Super built-up  Area,Abbigere,2,1130.0,2.0,1.0,46.33
292,Super built-up  Area,Abbigere,2,795.0,1.0,1.0,32.6
293,Built-up  Area,Abbigere,8,3000.0,8.0,0.0,150.0
294,Super built-up  Area,Abbigere,2,985.0,2.0,1.0,38.92
295,Super built-up  Area,Abbigere,2,1000.0,2.0,1.0,41.0
296,Super built-up  Area,Abbigere,2,995.0,2.0,1.0,40.8
297,Super built-up  Area,Abbigere,2,1020.0,2.0,1.0,40.8
298,Super built-up  Area,Akshaya Nagar,2,1388.0,2.0,3.0,57.0
299,Super built-up  Area,Akshaya Nagar,2,1070.0,2.0,1.0,54.0
300,Built-up  Area,Akshaya Nagar,2,1280.0,2.0,2.0,58.0
301,Built-up  Area,Akshaya Nagar,3,1662.0,3.0,3.0,85.1
302,Super built-up  Area,Akshaya Nagar,3,1897.0,3.0,2.0,120.0
303,Super built-up  Area,Akshaya Nagar,3,1410.0,2.0,2.0,75.0
304,Super built-up  Area,Akshaya Nagar,3,1360.0,2.0,2.0,85.0
306,Super built-up  Area,Akshaya Nagar,3,1410.0,2.0,2.0,80.0
307,Built-up  Area,Akshaya Nagar,3,1662.0,3.0,2.0,85.0
308,Built-up  Area,Akshaya Nagar,3,1662.0,3.0,2.0,85.5
309,Built-up  Area,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
310,Built-up  Area,Akshaya Nagar,3,1666.0,3.0,2.0,95.0
311,Super built-up  Area,Akshaya Nagar,3,1575.0,3.0,2.0,90.0
312,Super built-up  Area,Akshaya Nagar,3,1430.0,2.0,2.0,75.0
313,Built-up  Area,Akshaya Nagar,3,1419.0,2.0,3.0,73.0
314,Super built-up  Area,Akshaya Nagar,2,1280.0,2.0,1.0,60.0
315,Super built-up  Area,Akshaya Nagar,2,1200.0,2.0,1.0,50.0
316,Super built-up  Area,Akshaya Nagar,2,1092.0,2.0,1.0,60.0
317,Super built-up  Area,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
319,Super built-up  Area,Akshaya Nagar,3,1897.0,4.0,2.0,93.0
320,Super built-up  Area,Akshaya Nagar,3,1884.0,3.0,3.0,98.0
321,Super built-up  Area,Akshaya Nagar,2,1314.0,2.0,2.0,68.8
322,Super built-up  Area,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
323,Super built-up  Area,Akshaya Nagar,2,1265.0,2.0,3.0,67.0
324,Super built-up  Area,Akshaya Nagar,2,1126.0,2.0,1.0,55.0
326,Super built-up  Area,Akshaya Nagar,3,1662.0,3.0,2.0,90.0
327,Super built-up  Area,Akshaya Nagar,3,1420.0,2.0,2.0,75.0
328,Super built-up  Area,Akshaya Nagar,3,1412.0,2.0,3.0,88.0
329,Built-up  Area,Akshaya Nagar,3,1434.0,3.0,3.0,84.0
330,Super built-up  Area,Akshaya Nagar,3,1890.0,4.0,2.0,100.0
332,Super built-up  Area,Akshaya Nagar,3,1419.0,2.0,3.0,87.0
333,Super built-up  Area,Akshaya Nagar,2,1300.0,2.0,1.0,54.0
334,Super built-up  Area,Akshaya Nagar,3,1690.0,3.0,2.0,85.0
335,Super built-up  Area,Akshaya Nagar,2,1113.0,2.0,1.0,52.0
336,Super built-up  Area,Akshaya Nagar,3,1820.0,4.0,2.0,95.0
337,Super built-up  Area,Akshaya Nagar,2,1100.0,2.0,2.0,48.0
338,Super built-up  Area,Akshaya Nagar,3,1896.0,3.0,2.0,102.0
339,Super built-up  Area,Akshaya Nagar,2,1300.0,2.0,2.0,66.0
340,Super built-up  Area,Akshaya Nagar,2,1225.0,2.0,0.0,68.0
341,Super built-up  Area,Akshaya Nagar,2,1179.0,2.0,1.0,51.0
342,Super built-up  Area,Akshaya Nagar,3,1421.0,2.0,2.0,73.0
343,Super built-up  Area,Akshaya Nagar,3,1893.0,4.0,2.0,95.0
344,Built-up  Area,Akshaya Nagar,2,900.0,2.0,1.0,45.0
345,Super built-up  Area,Ambalipura,2,1105.0,2.0,1.0,75.0
346,Super built-up  Area,Ambalipura,3,1800.0,3.0,3.0,110.0
347,Built-up  Area,Ambalipura,2,1150.0,2.0,2.0,80.0
348,Super built-up  Area,Ambalipura,2,1250.0,2.0,2.0,66.25
349,Super built-up  Area,Ambalipura,2,1332.0,2.0,1.0,79.0
350,Super built-up  Area,Ambalipura,3,1730.0,3.0,1.0,120.0
352,Super built-up  Area,Ambalipura,2,1230.0,2.0,2.0,66.25
353,Super built-up  Area,Ambalipura,2,1351.0,2.0,1.0,77.0
357,Super built-up  Area,Ambalipura,2,1303.0,2.0,2.0,80.0
358,Super built-up  Area,Ambalipura,3,1607.0,2.0,2.0,112.0
359,Super built-up  Area,Ambalipura,1,770.0,1.0,2.0,43.82
360,Super built-up  Area,Ambalipura,2,1700.0,2.0,2.0,76.0
361,Super built-up  Area,Ambalipura,2,1060.0,2.0,1.0,58.5
362,Built-up  Area,Ambalipura,3,1650.0,3.0,3.0,100.0
363,Super built-up  Area,Ambalipura,3,1607.0,2.0,2.0,112.0
364,Super built-up  Area,Ambalipura,2,1198.0,2.0,2.0,80.0
365,Super built-up  Area,Ambedkar Nagar,3,1935.0,4.0,2.0,130.0
366,Super built-up  Area,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
367,Super built-up  Area,Ambedkar Nagar,3,2225.0,4.0,2.0,169.0
368,Super built-up  Area,Ambedkar Nagar,3,1862.0,3.0,2.0,120.0
369,Super built-up  Area,Ambedkar Nagar,3,1850.0,4.0,3.0,139.0
370,Super built-up  Area,Ambedkar Nagar,3,1936.0,4.0,2.0,126.0
371,Super built-up  Area,Ambedkar Nagar,3,1862.0,3.0,2.0,119.0
372,Super built-up  Area,Ambedkar Nagar,2,1424.0,2.0,2.0,90.0
373,Super built-up  Area,Ambedkar Nagar,3,2150.0,4.0,2.0,125.0
374,Built-up  Area,Ambedkar Nagar,4,3530.0,4.0,2.0,290.0
375,Super built-up  Area,Ambedkar Nagar,3,1856.0,3.0,1.0,120.0
376,Super built-up  Area,Ambedkar Nagar,3,1852.0,3.0,2.0,130.0
377,Super built-up  Area,Ambedkar Nagar,3,1850.0,4.0,2.0,120.0
378,Super built-up  Area,Ambedkar Nagar,2,1367.0,2.0,2.0,86.0
379,Plot  Area,Ambedkar Nagar,4,3565.0,4.0,3.0,255.0
380,Super built-up  Area,Ambedkar Nagar,2,1409.0,2.0,2.0,95.0
381,Super built-up  Area,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
382,Super built-up  Area,Ambedkar Nagar,3,1921.0,4.0,3.0,129.0
383,Super built-up  Area,Ambedkar Nagar,3,1920.0,4.0,2.0,121.0
384,Super built-up  Area,Ambedkar Nagar,3,1935.0,4.0,2.0,125.0
385,Super built-up  Area,Ambedkar Nagar,3,1852.0,4.0,2.0,122.0
386,Super built-up  Area,Ambedkar Nagar,3,1950.0,4.0,2.0,120.0
387,Super built-up  Area,Ambedkar Nagar,3,1852.0,3.0,2.0,125.0
388,Super built-up  Area,Ambedkar Nagar,3,1850.0,4.0,2.0,121.0
389,Super built-up  Area,Ambedkar Nagar,2,1425.0,2.0,1.0,94.0
390,Built-up  Area,Ambedkar Nagar,3,2395.0,4.0,2.0,150.0
391,Super built-up  Area,Amruthahalli,2,900.0,2.0,1.0,40.0
